ProviderName,PID,ProviderPracticeAddress1,ProviderPracticeAddress2,ProviderPracticeCity,ProviderPracticeStateCode,ProviderPracticeZipCode,County
Liberty Health Care Center,855,1206 N TRAVIS ST,,LIBERTY,TX,77575,Liberty
Life Care Center of Haltom,856,2936 MARKUM DR,,FORT WORTH,TX,76117,Tarrant
Life Care Center of Plano,857,3800 W PARK BLVD,,PLANO,TX,75075,Collin
Limestone Medical Center,860,701 MCCLINTIC DR,,GROESBECK,TX,76642,Limestone
Lindale Healthcare Center,861,215 MARGARET ST,,LINDALE,TX,75771,Smith
Lindan Park Rehabilitation And Nursing Center,862,1510 N PLANO RD,,RICHARDSON,TX,75081,Dallas
"Live Oak Nursing Center, LP",865,2951 HIGHWAY 281,,GEORGE WEST,TX,78022,Live Oak
Llano Nursing and Rehabilitation Center,866,800 W HAYNIE ST,,LLANO,TX,78643,Llano
Lockney Health and Rehabilitation Center,867,401 N MAIN ST,,LOCKNEY,TX,79241,Floyd
Longhorn Village,868,12001 LONGHORN PKWY,,AUSTIN,TX,78732,Travis
Longmeadow Healthcare Center,870,120 MEADOW VIEW DR,,JUSTIN,TX,76247,Denton
Longview Hill Nursing and Rehabilitation Center,871,3201 N 4TH ST,,LONGVIEW,TX,75605,Gregg
Los Arcos del Norte Care Center,874,11169 SEAN HAGGERTY,,EL PASO,TX,79934,
"Lubbock Health Care Center, LP",875,4120 22ND PL,,LUBBOCK,TX,79410,Lubbock
Lubbock Hospitality House Nursing and Rehabilitation Center,876,4710 SLIDE RD,,LUBBOCK,TX,79414,Lubbock
Lubbock Ltc Nursing And Rehabilitation,877,2400 QUAKER AVE,,LUBBOCK,TX,79410,Lubbock
Lutheran Sunset Ministry,880,1800 W 9TH ST,,CLIFTON,TX,76634,Bosque
Lynn County Hospital District,881,2600 LOCKWOOD ST,,TAHOKA,TX,79373,Lynn
Lynwood Nursing And Rehabilitation,883,803 S ALAMO RD,,LEVELLAND,TX,79336,Hockley
Lytle Nursing Home,884,15366 OAK ST,,LYTLE,TX,78052,Atascosa
Mabank Nursing Home,885,110 W TROUPE ST,,MABANK,TX,75147,Kaufman
Madison Medical Resort,887,5001 OFFICE PARK,,ODESSA,TX,79762,Ector
Madison Saint Joseph Health Center,888,100 W CROSS ST,,MADISONVILLE,TX,77864,Madison
Madisonville Care Center,889,411 E COLLARD ST,,MADISONVILLE,TX,77864,Madison
"Magnified Health and Rehab of Anderson, LLC",891,1115 ANDERSON ST,,COLLEGE STATION,TX,77840,Brazos
Magnolia Living and Rehabilitation,892,1105 N MAGNOLIA AVE,,LULING,TX,78648,Caldwell
Magnolia Manor,893,4400 GULF AVE,,GROVES,TX,77619,Jefferson
Magnolia Place,894,510 E BONHAM ST,,JEFFERSON,TX,75657,Marion
Magnolia Place Health Care,895,1620 MAGNOLIA ST,,LIBERTY,TX,77575,Liberty
Magnolia Place Skilled Nursing And Rehab,896,1307 MARTIN LUTHER KING DR,,JEFFERSON,TX,75657,Marion
"Manor Park, Inc",899,2208 N LOOP 250 W,,MIDLAND,TX,79707,Midland
Mansfield Medical Lodge,900,301 N MILLER RD,,MANSFIELD,TX,76063,Tarrant
Mansfield Nursing and Rehabilitation Center,901,1402 E BROAD ST,,MANSFIELD,TX,76063,Tarrant
Marine Creek Health and Rehabilitation Center,903,3600 ANGLE AVE,,FORT WORTH,TX,76106,Tarrant
Marshall Manor Nursing and Rehabilitation Center,904,1007 S WASHINGTON AVE,,MARSHALL,TX,75670,Harrison
Marshall Manor West,905,207 W MERRITT ST,,MARSHALL,TX,75670,Harrison
Mason Creek Transitional Care of Katy,908,21727 PROVINCIAL BLVD,,KATY,TX,77450,Harris
Matagorda House Healthcare Center At The Legacy Campus,910,700 12TH ST,,BAY CITY,TX,77414,Matagorda
Matagorda Nursing and Rehabilitation Center,911,4521 AVENUE F,,BAY CITY,TX,77414,Matagorda
Matlock Place Health and Rehabilitation Center,912,7100 MATLOCK RD,,ARLINGTON,TX,76002,Tarrant
Maverick Nursing and Rehabilitation Center,913,3106 BOB ROGERS DR,,EAGLE PASS,TX,78852,Maverick
Mcallen Nursing Center,916,600 N CYNTHIA ST,,MCALLEN,TX,78501,Hidalgo
McAllen Transitional Care Center,917,2109 S K ST,,MCALLEN,TX,78503,Hidalgo
McCamey Hospital,919,2500 HIGHWAY 305 S,,MCCAMEY,TX,79752,Upton
McKinney Healthcare and Rehabilitation Center,922,253 ENTERPRISE DR,,MCKINNEY,TX,75069,Collin
McLean Care Center,924,605 W 7TH ST,,MCLEAN,TX,79057,Gray
Meadow Lake Health Center,925,16044 COUNTY ROAD 165,,TYLER,TX,75703,
Meadowbrook Care Center,926,632 WINDSOR WAY,,VAN ALSTYNE,TX,75495,Grayson
Medical Arts Hospital,927,2200 N BRYAN AVE,,LAMESA,TX,79331,Dawson
Medina Regional Hospital,935,3100 AVENUE E,,HONDO,TX,78861,Medina
Medina Valley Health and Rehabilitation Center,936,913 US HIGHWAY 90 W,,CASTROVILLE,TX,78009,Medina
Memorial City Health and Rehabilitation Center,939,1341 BLALOCK RD,,HOUSTON,TX,77055,Harris
Memorial Hermann Hospital Skilled Nursing Unit,943,6411 FANNIN ST,,HOUSTON,TX,77030,Harris
Memorial Hospital,948,209 NW 8TH ST,,SEMINOLE,TX,79360,Gaines
Memorial Medical Center,949,815 N VIRGINIA ST,,PORT LAVACA,TX,77979,Calhoun
Memorial Medical Nursing Center,950,307 W CYPRESS ST,,SAN ANTONIO,TX,78212,Bexar
Memorial Nursing and Rehabilitation Center,951,224 E 2ND ST,,DUMAS,TX,79029,Moore
Memphis Convalescent Center,952,1415 N 18TH ST,,MEMPHIS,TX,79245,Hall
Menard Manor,953,100 GAY ST,,MENARD,TX,76859,Menard
Meridian Care,955,7181 CRESTWAY RD,,SAN ANTONIO,TX,78239,Bexar
Meridian Care of Alice,956,219 N KING ST,,ALICE,TX,78332,Jim Wells
Meridian Care Of Hebbronville,957,606 W GRUY ST,,HEBBRONVILLE,TX,78361,Jim Hogg
Meridian Care of Monte Vista,958,616 W RUSSELL PL,,SAN ANTONIO,TX,78212,Bexar
Meridian Of Temple,959,4312 S 31ST ST,,TEMPLE,TX,76502,Bell
Merkel Nursing Center,960,1704 N 1ST,,MERKEL,TX,79536,Taylor
Mesa Vista Health Center,963,5756 N KNOLL,,SAN ANTONIO,TX,78240,Bexar
"Mesquite Tree Nursing Center, LP",964,434 PAZA DR,,MESQUITE,TX,75149,Dallas
Methodist Hospital Skilled Nursing Unit,966,6447 MAIN ST,,HOUSTON,TX,77030,Harris
"Metroplex Nursing and Rehabilitation, LP",969,658 SW 3RD ST,,GRAND PRAIRIE,TX,75051,Dallas
Mexia LTC Nursing and Rehabilitation,970,601 TERRACE LN,,MEXIA,TX,76667,Limestone
Mid Valley Nursing And Rehabilitation,972,601 N MILE 2 W,,MERCEDES,TX,78570,Hidalgo
Midland Medical Lodge,974,3000 MOCKINGBIRD,,MIDLAND,TX,79705,Midland
MIDLOTHIAN HEALTHCARE CENTER,975,900 GEORGE HOPPER RD,,MIDLOTHIAN,TX,76065,Ellis
Midwestern Healthcare Center,976,601 MIDWESTERN PKWY E,,WICHITA FALLS,TX,76302,Wichita
Millbrook Healthcare and Rehabilitation Center,977,1850 W PLEASANT RUN RD,,LANCASTER,TX,75146,Dallas
Mineola Healthcare Residence,978,716 MIMOSA DR,,MINEOLA,TX,75773,Wood
Mineral Wells Nursing and Rehabilitation,979,316 SW 25TH AVE,,MINERAL WELLS,TX,76067,Palo Pinto
Mira Vista Court,980,7021 BRYANT IRVIN RD,,FORT WORTH,TX,76132,Tarrant
Mirador,981,5857 TIMBERGATE DR,,CORPUS CHRISTI,TX,78414,Nueces
Mission Care Center,982,6150 SOUTH LOOP E,,HOUSTON,TX,77087,Harris
Mission Manor Healthcare Residence,983,501 YATES ST,,MOUNT VERNON,TX,75457,Franklin
Mission Nursing and Rehabilitation Center,985,1013 S BRYAN RD,,MISSION,TX,78572,Hidalgo
MISSION VALLEY NURSING AND TRANSITIONAL CARE,988,1200 S BRYAN RD,,MISSION,TX,78572,
Mitchell County Nursing and Rehabilitation Center,990,1941 CHESTNUT ST,,COLORADO CITY,TX,79512,Mitchell
Modern Senior Living,991,3808 S CENTRAL EXPY,,DALLAS,TX,75215,Dallas
Monahans Managed Care Center,992,1200 W 15TH ST,,MONAHANS,TX,79756,Ward
Monarch Pavilion Rehabilitation,993,6825 HARRY HINES BLVD,,DALLAS,TX,75235,Dallas
"Monte Siesta Nursing and Rehabilitation, LP",994,4501 DUDMAR DR,,AUSTIN,TX,78735,Travis
Monument Hill Nursing And Rehabilitation Center,996,120 STATE LOOP 92,,LA GRANGE,TX,78945,Fayette
Morningside at The Meadows Health Care,998,2201 ST CLOUD,,SAN ANTONIO,TX,78228,
Morningside Manor Health Care,999,602 BABCOCK RD,,SAN ANTONIO,TX,78201,Bexar
Morningside Ministries at the Chandler Estate,1000,1502 HOWARD ST,,SAN ANTONIO,TX,78212,Bexar
Mountain View Health And Rehabilitation,1003,1600 MURCHISON DR,,EL PASO,TX,79902,El Paso
Mountain Villa Skilled Nursing Facility,1005,2729 PORTER AVE,,EL PASO,TX,79930,El Paso
MRC Creekside,1006,1433 VETERANS MEMORIAL PKWY,,HUNTSVILLE,TX,77340,Walker
Muenster Memorial Hospital Swing Bed,1009,605 N MAPLE ST,,MUENSTER,TX,76252,Cooke
Mulberry Manor,1010,1670 W LINGLEVILLE RD,,STEPHENVILLE,TX,76401,Erath
Muleshoe Area Medical Center,1011,708 S 1ST ST,,MULESHOE,TX,79347,Bailey
Mullican Care Center,1012,105 N MAIN,,SAVOY,TX,75479,Fannin
Mystic Park Nursing and Rehabilitation Center,1015,8503 MYSTIC PARK,,SAN ANTONIO,TX,78254,Bexar
Navasota Nursing And Rehabilitation,1020,1405 E WASHINGTON AVE,,NAVASOTA,TX,77868,Grimes
Nazareth Living Care Center,1021,1475 RAYNOLDS ST,,EL PASO,TX,79903,El Paso
Nesbit Living and Recovery Center,1022,1215 ASHBY ST,,SEGUIN,TX,78155,Guadalupe
New Hope Manor,1025,1623 W NEW HOPE DR,,CEDAR PARK,TX,78613,Williamson
Nocona Nursing Home,1029,306 CAROLYN RD,,NOCONA,TX,76255,Montague
"Nolan Nursing and Rehabilitation, LP",1030,705 NE GEORGIA AVE,,SWEETWATER,TX,79556,Nolan
Normandy Terrace Healthcare and Rehabilitation Center,1031,841 RICE RD,,SAN ANTONIO,TX,78220,Bexar
NORTH HOUSTON TRANSITIONAL CARE,1032,9814 GRANT RD,,HOUSTON,TX,77070,
North Park Health and Rehabilitation Center,1033,1720 N MCDONALD ST,,MC KINNEY,TX,75071,Collin
"North Pointe Nursing and Rehabilitation, LP",1034,7804 VIRGIL ANTHONY BLVD,,WATAUGA,TX,76148,Tarrant
Northeast Rehabilitation Center,1038,603 CORINNE DR,,SAN ANTONIO,TX,78218,Bexar
Northern Oaks Living and Rehabilitation Center,1039,2722 OLD ANSON RD,,ABILENE,TX,79603,Taylor
Northgate Health and Rehabilitation Center,1040,5757 N KNOLL,,SAN ANTONIO,TX,78240,Bexar
Northgate Plaza Nursing and Rehabilitation Center,1041,2101 W NORTHGATE DR,,IRVING,TX,75062,Dallas
Northwest Health and Rehabilitation Center,1043,17600 CALI DR,,HOUSTON,TX,77090,Harris
Oak Grove Nursing Home,1045,6230 WARREN ST,,GROVES,TX,77619,Jefferson
"Oak Manor Nursing and Rehabilitation, LP",1046,2901 STERLING HART DR,,COMMERCE,TX,75428,Hunt
Oak Manor Nursing Home,1047,1200 FERGUSON ST,,NACOGDOCHES,TX,75961,Nacogdoches
Oak Parks Nursing and Rehabilitation Center,1048,7302 OAK MANOR DR,,SAN ANTONIO,TX,78229,Bexar
Oak Ridge Manor,1049,2501 MORRIS SHEPPARD DR,,BROWNWOOD,TX,76801,Brown
Oak Village Healthcare,1050,204 OAK DR S,,LAKE JACKSON,TX,77566,Brazoria
Oakbend Medical Center Skilled Nursing Facility,1051,1705 JACKSON ST,FL 1,RICHMOND,TX,77469,Fort Bend
Oakbrook Healthcare Center,1052,107 STACY DR,,WHITEHOUSE,TX,75791,Smith
"Oakland Manor Nursing Center, LP",1054,1400 N MAIN ST,,GIDDINGS,TX,78942,Lee
Oakmont Healthcare and Rehabilitation Center of Katy,1055,1525 TULL DR,,KATY,TX,77449,Harris
Oakmont Healthcare and Rehabilitation of Humble,1056,8450 WILL CLAYTON PKWY,,HUMBLE,TX,77338,Harris
Oaks At White Settlement,1057,8001 WESTERN HILLS BLVD,,FORT WORTH,TX,76108,Tarrant
Oaks Nursing Center,1058,507 W JACKSON ST,,BURNET,TX,78611,Burnet
Oakwood Manor Nursing Home,1060,225 S MAIN ST,,VIDOR,TX,77662,Orange
"Oakwood Nursing and Rehabilitation, LP",1061,301 W RANDOL MILL RD,,ARLINGTON,TX,76011,Tarrant
Oasis Nursing and Rehabilitation Center,1062,9001 N LOOP DR,,EL PASO,TX,79907,El Paso
Ochiltree General Hospital,1063,3101 GARRETT DR,,PERRYTON,TX,79070,Ochiltree
Odd Fellow and Rebekah Nursing and Rehab Center,1064,2300 S OAK GROVE RD,,ENNIS,TX,75119,Ellis
One Heartland San Antonio Wellness And Rehabilitation,1068,1 HEARTLAND DR,,SAN ANTONIO,TX,78247,Bexar
Onion Creek Nursing And Rehabilitation Center,1069,1700 ONION CREEK PKWY,,AUSTIN,TX,78748,Travis
OnPointe Transitional Care at Texas Health Arlington Memorial Hospital,1070,800 W RANDOL MILL RD,6TH FLOOR SOUTH TOWER,ARLINGTON,TX,76012,
OnPointe Transitional Care at Texas Health Presbyterian Hospital Dallas,1071,8200 WALNUT HILL LN,,DALLAS,TX,75231,Dallas
Otto Kaiser Memorial Hospital,1073,3349 S HIGHWAY 181,,KENEDY,TX,78119,Karnes
Overton Healthcare Center,1074,1110 STATE HIGHWAY 135 S,,OVERTON,TX,75684,Rusk
Palacios Community Medical Center,1077,311 GREEN AVE,,PALACIOS,TX,77465,Matagorda
Palestine Healthcare Center,1079,1816 TILE FACTORY RD,,PALESTINE,TX,75803,Anderson
Palma Real Nursing Center,1081,1220 LOOP 459,,MATHIS,TX,78368,San Patricio
Palo Pinto General Hospital,1084,400 SW 25TH AVE,,MINERAL WELLS,TX,76067,Palo Pinto
Palo Pinto Nursing Center and Rehabilitation,1085,200 SW 25TH AVE,,MINERAL WELLS,TX,76067,Palo Pinto
Palomino Place,1086,3160 GUS THOMASSON RD,,MESQUITE,TX,75150,
Pampa Nursing Center,1088,1321 W KENTUCKY AVE,,PAMPA,TX,79065,Gray
Panola Nursing and Rehabilitation Center,1091,501 COTTAGE RD,,CARTHAGE,TX,75633,Panola
Paradigm At First Colony,1092,4710 LEXINGTON BLVD,,MISSOURI CITY,TX,77459,Fort Bend
Paradigm At Woodwind Lakes,1093,7215 WINDFERN RD,,HOUSTON,TX,77040,Harris
Paris Health Care Center,1094,610 DESHONG DR,,PARIS,TX,75460,Lamar
Park Bend Sn Health Center,1096,2122 PARK BEND DR,,AUSTIN,TX,78758,Travis
Park Highland Nursing Center,1097,711 LUCAS DR,,ATHENS,TX,75751,Henderson
Park Manor Bee Cave,1098,14058 BEE CAVE PKWY,,AUSTIN,TX,78738,Travis
Park Manor Health Care And Rehabilitation,1099,207 E PARKERVILLE RD,,DESOTO,TX,75115,Dallas
Park Manor of Conroe,1100,1600 GRAND LAKE DR,,CONROE,TX,77304,Montgomery
Park Manor of Cyfair,1101,11001 CRESCENT MOON DR,,HOUSTON,TX,77064,Harris
Park Manor of Cypress Station,1102,420 LANTERN BEND DR,,HOUSTON,TX,77090,Harris
Park Manor of Humble,1103,19424 MCKAY DR,,HUMBLE,TX,77338,Harris
Park Manor of McKinney,1104,1801 PEARSON AVE,,MCKINNEY,TX,75069,Collin
Park Manor of Quail Valley,1105,2350 FM 1092 RD,,MISSOURI CITY,TX,77459,Fort Bend
Park Manor of The Woodlands,1106,1014 WINDSOR LAKES BLVD,,THE WOODLANDS,TX,77384,Montgomery
Park Manor of Tomball,1107,250 SCHOOL ST,,TOMBALL,TX,77375,Harris
Park Manor of Westchase,1108,11910 RICHMOND AVE,,HOUSTON,TX,77082,Harris
Park Manor South Belt,1109,11902 RESOURCE PKWY,,HOUSTON,TX,77089,Harris
Park Place Health Care Center,1110,121 FM 971,,GEORGETOWN,TX,78626,Williamson
Park Place Manor,1111,810 E 13TH AVE,,BELTON,TX,76513,Bell
Park Place Nursing,1112,2450 E 5TH ST,,TYLER,TX,75701,Smith
Park Valley Inn Health Center,1120,17751 PARK VALLEY DR,,ROUND ROCK,TX,78681,Williamson
Park View Care Center,1121,3301 VIEW ST,,FORT WORTH,TX,76103,Tarrant
Park View Nursing and Rehabilitation,1122,3200 PARKWAY RD,,BIG SPRING,TX,79720,Howard
Park View Nursing Care Center,1123,1100 W AVENUE J,,MULESHOE,TX,79347,Bailey
Parklane West,1124,2 TOWERS PARK LN,,SAN ANTONIO,TX,78209,Bexar
Parkview Hospital,1125,901 SWEETWATER ST,,WHEELER,TX,79096,Wheeler
Parkview Manor Nursing and Rehabilitation,1126,206 N SMITH ST,,WEIMAR,TX,78962,Colorado
Parkview Nursing And Rehabilitation Center,1127,1501 S MAIN ST,,LOCKHART,TX,78644,Caldwell
Parkview Regional Hospital,1128,600 S BONHAM ST,,MEXIA,TX,76667,Limestone
Parkway Place,1129,1321 PARK BAYOU DR,,HOUSTON,TX,77077,Harris
Parkwood Healthcare Community,1130,2600 PARKVIEW LN,,BEDFORD,TX,76022,Tarrant
Parkwood Place Healthcare Center,1132,300 N BYNUM ST,,LUFKIN,TX,75904,Angelina
Pasadena Care Center,1135,4006 VISTA RD,,PASADENA,TX,77504,Harris
Pathways Memory Care At Villa Toscana,1136,2930 CYPRESS GROVE MEADOW DR,,HOUSTON,TX,77014,Harris
Patriot Heights San Antonio,1137,5000 FAWN MDWS,,SAN ANTONIO,TX,78240,Bexar
Patriot Rehabilitation And Wellness Center,1138,11490 GATEWAY N BLVD,,EL PASO,TX,79934,
Peach Tree Place,1139,315 W ANDERSON ST,,WEATHERFORD,TX,76086,Parker
Pearl Nordan Care Center Of Juliette Fowler Communities,1141,1260 ABRAMS RD,,DALLAS,TX,75214,Dallas
Pearsall Skilled Nursing and Rehabilitation Center,1143,169 MEDICAL DR,,PEARSALL,TX,78061,Frio
Pebble Creek Nursing Center,1144,11608 SCOTT SIMPSON DR,,EL PASO,TX,79936,El Paso
Pecan Manor Nursing And Rehabilitation,1145,413 MANSFIELD CARDINAL RD,,KENNEDALE,TX,76060,Tarrant
Pecan Tree Rehab and Healthcare Center,1146,1900 E CALIFORNIA ST,,GAINESVILLE,TX,76240,Cooke
Pecan Valley Rehabilitation And Healthcare Center,1148,3838 E SOUTHCROSS BLVD,,SAN ANTONIO,TX,78222,Bexar
Pecos County Memorial Hospital,1149,387 W INTERSTATE 10,,FORT STOCKTON,TX,79735,Pecos
Pennsylvania Rehab,1150,901 PENNSYLVANIA AVE,,FORT WORTH,TX,76104,Tarrant
Permian Regional Medical Center,1151,720 HOSPITAL DR,,ANDREWS,TX,79714,Andrews
Petal Hill Nursing and Rehabilitation Center,1153,900 S BAXTER AVE,,TYLER,TX,75701,Smith
Pflugerville Care Center,1155,521 S HEATHERWILDE BLVD,,PFLUGERVILLE,TX,78660,Travis
Pflugerville Nursing and Rehabilitation Center,1156,104 REX KERWIN CT,,PFLUGERVILLE,TX,78660,Travis
Pilot Point Care Center,1158,208 N PRAIRIE ST,,PILOT POINT,TX,76258,Denton
Pine Arbor,1159,705 HIGHWAY 418 W,,SILSBEE,TX,77656,Hardin
Pine Grove,1162,246 HALEY DR,,CENTER,TX,75935,Shelby
"Pine Ridge Health Care, LLP",1163,1620 HIGHWAY 59 LOOP N,,LIVINGSTON,TX,77351,Polk
Pine Shadow Retreat,1165,23450 PINE SHADOWS LN,,PORTER,TX,77365,Montgomery
Pine Tree Lodge Nursing Center,1166,2711 PINE TREE RD,,LONGVIEW,TX,75604,Gregg
Pinecrest Nursing and Rehabilitation Center,1167,3505 OLD JACKSONVILLE RD,,TYLER,TX,75701,Smith
Pinecrest Retirement Community,1168,1302 TOM TEMPLE DR,,LUFKIN,TX,75904,Angelina
Pittsburg Nursing Center,1170,123 PECAN BLVD,,PITTSBURG,TX,75686,Camp
Plains Memorial Hospital,1171,310 W HALSELL ST,,DIMMITT,TX,79027,Castro
Plainview Healthcare Center,1172,2510 W 24TH ST,,PLAINVIEW,TX,79072,Hale
Pleasant Manor Health and Rehabilitation Center,1174,3650 S INTERSTATE HIGHWAY 35 E,,WAXAHACHIE,TX,75165,Ellis
Pleasant Springs Healthcare Center,1175,2003 N EDWARDS AVE,,MOUNT PLEASANT,TX,75455,Titus
Pleasant Valley Healthcare and Rehabilitation Center,1176,1525 PLEASANT VALLEY RD,,GARLAND,TX,75040,Dallas
Ponderosa Nursing and Rehabilitation,1177,12520 FM 1840,,DE KALB,TX,75559,Bowie
Port Lavaca Nursing and Rehabilitation Center,1178,524 VILLAGE RD,,PORT LAVACA,TX,77979,Calhoun
Post Nursing and Rehabilitation Center,1179,605 W 7TH ST,,POST,TX,79356,Garza
Prairie Acres Rehabilitation And Nursing Friona Heritage Estates,1181,201 E 15TH ST,,FRIONA,TX,79035,Parmer
Prairie Estates,1182,1350 MAIN ST,,FRISCO,TX,75033,Collin
Prairie House Living Center,1183,1301 MESA DR,,PLAINVIEW,TX,79072,Hale
"Presbyterian Manor, Inc",1186,4600 TAFT BLVD,,WICHITA FALLS,TX,76308,Wichita
Presbyterian Village North,1187,8600 SKYLINE DR,,DALLAS,TX,75243,Dallas
Prestonwood Rehabilitation and Nursing Center,1188,2460 MARSH LN,,PLANO,TX,75093,Collin
Promise Skilled Nursing Facility of Wichita Falls,1189,1101 GRACE ST,,WICHITA FALLS,TX,76301,Wichita
Providence Park of Tyler,1191,5505 NEW COPELAND RD,,TYLER,TX,75703,Smith
Quality Care of Waco,1192,2501 MAPLE AVE,,WACO,TX,76707,McLennan
Querencia at Barton Creek,1196,2500 BARTON CREEK BLVD,,AUSTIN,TX,78735,Travis
Rambling Oaks Courtyard Extensive Care Community,1198,112 BARNETT DR,,HIGHLAND VILLAGE,TX,75077,Denton
Ranger Care Center,1199,460 W MAIN ST,,RANGER,TX,76470,Eastland
RAPID RECOVERY CENTER OF FORT WORTH,1201,6301 OAKMONT BLVD,,FORT WORTH,TX,76132,
Rayburn Health Care and Rehabilitation,1203,144 BULLDOG AVE,,JASPER,TX,75951,Jasper
Red Oak Health And Rehabilitation Center,1206,101 REESE DR,,RED OAK,TX,75154,Ellis
Refugio Manor Skilled Nursing and Rehabilitation Center,1211,201 SWIFT ST,,REFUGIO,TX,78377,Refugio
Regency Manor Healthcare Center,1213,3011 W ADAMS AVE,,TEMPLE,TX,76504,Bell
"Regency Manor Nursing and Rehabilitation, LP",1214,1615 11TH ST,,FLORESVILLE,TX,78114,Wilson
Regency Village,1215,409 GREENE ST,,WEBSTER,TX,77598,Harris
Regent Care Center at Medical Center,1216,3935 MEDICAL DR,,SAN ANTONIO,TX,78229,Bexar
Regent Care Center of El Paso,1217,10880 EDGEMERE BLVD,,EL PASO,TX,79935,El Paso
Regent Care Center of Kingwood,1218,23775 KINGWOOD PLACE DR,,KINGWOOD,TX,77339,Harris
Regent Care Center of Laredo,1219,7001 MCPHERSON RD,,LAREDO,TX,78041,Webb
Regent Care Center of League City,1220,2620 W WALKER ST,,LEAGUE CITY,TX,77573,Galveston
Regent Care Center of Oakwell Farms,1221,8501 LAURENS LN,,SAN ANTONIO,TX,78218,Bexar
Regent Care Center of San Marcos,1222,1351 SADLER DR,,SAN MARCOS,TX,78666,Hays
Regent Care Center of the Woodlands,1223,10450 GOSLING RD,,THE WOODLANDS,TX,77381,Montgomery
Regent Care Center of Woodway,1224,7801 WOODWAY DR,,WACO,TX,76712,McLennan
Remarkable Healthcare Of Dallas,1226,3350 BONNIE VIEW RD,,DALLAS,TX,75216,Dallas
Remarkable Healthcare Of Fort Worth Lp,1229,6649 N RIVERSIDE DR,,FORT WORTH,TX,76137,Tarrant
Remarkable Healthcare Of Prestonwood,1230,4501 PLANO PKWY,,CARROLLTON,TX,75010,Denton
Remarkable Healthcare Of Seguin,1231,1339 EASTWOOD DR,,SEGUIN,TX,78155,Guadalupe
Remington Transitional Care of Richardson,1232,1350 E LOOKOUT DR,,RICHARDSON,TX,75082,Dallas
REMINGTON TRANSITIONAL CARE OF SAN ANTONIO,1233,5423 HAMILTON WOLFE RD,,SAN ANTONIO,TX,78229,Bexar
Renaissance Care Center,1234,1400 BLACK HILL DR,,GAINESVILLE,TX,76240,Cooke
Renaissance Park Multi Care Center,1235,4252 BRYANT IRVIN RD,,BENBROOK,TX,76109,Tarrant
Renaissance Park MultiCare Center,1236,4252 BRYANT IRVIN RD,,FORT WORTH,TX,76109,
Renaissance Villa,1237,700 DYER ST,,ROCKDALE,TX,76567,Milam
Retama Manor Nursing Center Alice,1239,606 COYOTE TRL,,ALICE,TX,78332,Jim Wells
Retama Manor Nursing Center Corpus Christi North,1240,2322 MORGAN AVE,,CORPUS CHRISTI,TX,78405,Nueces
Retama Manor Nursing Center Edinburg,1241,1505 S CLOSNER BLVD,,EDINBURG,TX,78539,Hidalgo
Retama Manor Nursing Center Harlingen,1242,820 CAMELOT DR,,HARLINGEN,TX,78550,Cameron
Retama Manor Nursing Center Jourdanton,1243,1504 E STATE HIGHWAY 97,,JOURDANTON,TX,78026,Atascosa
Retama Manor Nursing Center Laredo South,1244,1100 GALVESTON ST,,LAREDO,TX,78040,Webb
Retama Manor Nursing Center Laredo West,1245,1200 E LANE ST,,LAREDO,TX,78040,Webb
Retama Manor Nursing Center McAllen,1246,900 S 12TH ST,,MCALLEN,TX,78501,Hidalgo
Retama Manor Nursing Center Pleasanton North,1247,404 W GOODWIN ST,,PLEASANTON,TX,78064,Atascosa
Retama Manor Nursing Center Pleasanton South,1248,905 W OAKLAWN RD,,PLEASANTON,TX,78064,Atascosa
Retama Manor Nursing Center Raymondville,1249,1700 S EXPRESSWAY 77,,RAYMONDVILLE,TX,78580,Willacy
Retama Manor Nursing Center Rio Grande City,1250,400 PETE DIAZ JR AVE,,RIO GRANDE CITY,TX,78582,Starr
Retama Manor Nursing Center San Antonio North,1251,501 OGDEN ST,,SAN ANTONIO,TX,78212,Bexar
Retama Manor Nursing Center San Antonio West,1252,636 CUPPLES RD,,SAN ANTONIO,TX,78237,Bexar
Retama Manor Nursing Home,1253,721 S AIRPORT DR,,WESLACO,TX,78596,Hidalgo
Retama Manor South,1254,3103 E AIRLINE RD,,VICTORIA,TX,77901,Victoria
Reunion Plaza Healthcare and Rehabilitation,1255,1401 RICE RD,,TYLER,TX,75703,Smith
Reunion Plaza Senior Care Center,1256,1401 HAMPTON RD,,TEXARKANA,TX,75503,Bowie
Rice Medical Center,1257,600 S AUSTIN RD,,EAGLE LAKE,TX,77434,Colorado
Richland Hills Nursing and Rehabilitation Center,1260,3109 KINGS CT,,FORT WORTH,TX,76118,Tarrant
Richmond Health Care Center,1261,705 JACKSON ST,,RICHMOND,TX,77469,Fort Bend
Ridgecrest Healthcare And Rehabilitation Center,1263,561 RIDGECREST RD,,FORNEY,TX,75126,Kaufman
Ridgecrest Retirement Center,1264,1900 W STATE HIGHWAY 6,,WOODWAY,TX,76712,McLennan
Ridgeview Rehabilitation and Skilled Nursing,1265,206 WALLS DR,,CLEBURNE,TX,76033,Johnson
Ridgmar Medical Lodge,1266,6600 LANDS END CT,,FORT WORTH,TX,76116,Tarrant
Rio Grande City Nursing and Rehabilitation Center,1267,2530 CENTRAL PALM DR,,RIO GRANDE CITY,TX,78582,Starr
