PID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,ProviderName,lat,lng,county_name
695,0,0,1,0,0,2,2,1,1,1,0,1,"Homestead Nursing and Rehabilitation of Hillsboro, LLC",32.02172,-97.1336,Hill
696,2,1,0,0,0,1,0,0,0,1,0,0,"Homestead Nursing and Rehabilitation of Itasca, LLC",32.16217,-97.15511,Hill
698,0,1,0,0,0,0,0,0,1,1,1,1,Hondo Nursing and Rehabilitation,29.4267,-99.15448,Medina
699,0,0,0,0,3,3,3,1,2,4,1,2,Honey Grove Nursing Center,33.61208,-95.89414,Fannin
702,2,0,1,0,0,0,0,0,0,0,0,1,Houston County Nursing Home,31.2935,-95.49194,Houston
705,5,3,1,1,2,1,0,0,1,1,0,0,Houston Methodist Hospital,29.706290000000006,-95.4026,Harris
708,1,1,1,1,3,4,3,2,0,1,0,3,HOUSTON TRANSITIONAL CARE,29.68802,-95.51627,Harris
709,14,6,14,10,2,3,0,4,6,5,4,2,Huebner Creek Health and Rehabilitation Center,29.52465,-98.60749,Bexar
711,0,0,3,1,0,2,4,1,0,0,4,1,Humble Healthcare Center,30.00679,-95.29018,Harris
715,2,3,2,1,2,1,2,4,1,1,1,1,Huntington Healthcare And Rehabilitation,31.23143,-94.51943,Angelina
716,2,7,2,3,5,4,2,1,0,0,4,4,Huntsville Healthcare Center,30.643690000000007,-95.53981,Walker
718,2,1,1,2,0,0,0,0,0,2,1,1,Hurst Plaza Nursing and Rehabilitation,32.8171,-97.17951,Tarrant
722,2,1,2,1,2,1,2,1,1,1,1,1,Immanuels Healthcare,32.69064,-97.26215,Tarrant
723,1,0,0,0,0,0,0,1,0,0,0,0,Indian Oaks Living Center,31.05081,-97.64587,Bell
724,2,5,6,7,4,1,2,1,2,1,0,1,Inspiration Hills Rehabilitation Center,29.46095,-98.57201,Bexar
726,5,1,0,3,1,1,1,1,0,0,1,1,Interlochen Health and Rehabilitation Center,32.75461,-97.13902,Tarrant
727,0,0,0,0,0,1,0,0,0,0,0,0,Iowa Park Healthcare Center,33.97433,-98.72274,Wichita
730,0,0,0,0,1,1,1,0,0,0,0,0,"Irving Nursing and Rehabilitation, LP",32.82602,-96.96544,Dallas
734,0,1,2,4,3,1,2,4,2,2,3,3,Jacinto City Healthcare Center,29.76277,-95.26243,Harris
735,1,0,1,0,2,2,0,1,0,1,0,0,Jackson County Hospital,29.03768,-96.70042,Jackson
736,0,0,0,0,0,1,0,0,0,0,0,0,Jacksonville Healthcare Center,31.9462,-95.25704,Cherokee
739,2,4,4,3,3,5,4,2,0,0,0,0,Jefferson Nursing and Rehabilitation Center,30.09973,-94.17074,Jefferson
740,2,2,5,3,1,2,1,2,1,7,5,4,Jeffrey Place Healthcare Center,31.53875,-97.19525,McLennan
746,0,2,0,1,1,1,0,0,2,0,0,2,Kaufman Healthcare Center,32.57358,-96.24717,Kaufman
747,4,1,1,1,2,3,2,3,2,4,3,3,"Keeneland Nursing and Rehabilitation, LP",32.75481,-97.78995,Parker
748,4,3,1,5,10,6,7,8,5,5,2,2,Keller Oaks Healthcare Center,32.925740000000005,-97.22899,Tarrant
749,0,0,0,0,0,0,0,0,1,1,0,0,Kemp Care,32.36358,-96.24817,Henderson
750,0,1,5,3,3,1,3,3,1,3,0,2,Kendall House Wellness and Rehabilitation,29.85533,-98.72266,Kendall
752,3,1,4,3,4,2,5,3,7,4,4,3,Kennedy Health And Rehab,31.33969,-94.82173,Angelina
754,1,0,0,0,0,0,0,0,0,0,0,0,Kerens Care Center,32.11312,-96.20884,Navarro
756,1,0,1,0,1,0,1,0,1,0,1,0,Kerrville Va Medical Center Swing Bed,30.03422,-99.15819,Kerr
757,0,0,0,2,0,0,1,1,3,2,2,2,Kilgore Health and Rehabilitation,32.383990000000004,-94.87015,Gregg
759,3,0,3,1,5,0,3,0,3,0,3,0,Kimble Hospital,30.48896,-99.79705,Kimble
763,0,0,0,0,3,1,0,0,1,1,0,1,Kings Manor Methodist Home,34.91238,-102.559,Deaf Smith
764,8,2,3,1,2,2,3,0,3,0,1,5,Kingsland Hills Care Center,30.66282,-98.44043,Llano
765,3,7,3,4,2,5,2,5,3,2,5,6,Kingsville Nursing and Rehabilitation Center,27.44952,-97.86266,Kleberg
766,1,0,1,0,0,1,0,0,0,0,0,0,Kirkland Court Health and Rehabilitation,35.20318,-101.89519,Potter
767,5,5,7,9,8,4,6,9,7,4,10,11,Kirkwood Manor Nursing and Rehab Center,29.69772,-98.0702,Comal
768,0,0,1,2,2,0,0,0,3,1,1,2,"Kleberg County Nursing and Rehabilitation, LP",27.44952,-97.86266,Kleberg
770,0,3,0,2,0,2,0,2,0,2,0,2,Knopp Healthcare and Rehabilitation,30.28151,-98.87712,Gillespie
772,3,1,3,1,3,1,3,1,3,1,3,1,Knopp Nursing and Rehabilitation,30.28151,-98.87712,Gillespie
774,1,1,1,1,3,2,0,1,1,0,0,0,Kountze Nursing Center,30.37576,-94.37901,Hardin
775,3,2,3,5,3,5,3,5,3,1,2,3,Kruse Village,30.21068,-96.40706,Washington
776,0,0,0,0,0,0,1,0,1,0,0,2,La Bahia Nursing And Rehabilitation,28.657020000000006,-97.41547,Goliad
777,0,0,0,3,4,4,4,1,1,1,1,2,La Dora Nursing and Rehab Center,32.85231,-97.13119,Tarrant
781,9,2,6,5,2,2,2,2,3,4,4,8,La Vida Serena Nursing and Rehabilitation,29.74211,-100.88273,Val Verde
785,0,0,0,0,0,1,0,1,0,1,0,0,Lake Jackson Healthcare Center,29.05023,-95.47549,Brazoria
786,1,0,2,0,1,0,1,0,1,1,0,1,"Lake Lodge Nursing and Rehabilitation, LP",32.83435,-97.46485,Tarrant
788,4,4,4,9,5,5,11,7,3,4,7,7,Lake Village Nursing and Rehabilitation Center,33.04952,-96.98383,Denton
789,0,1,1,0,0,0,0,0,0,1,0,0,Lake Worth Nursing and Rehabilitation,32.83435,-97.46485,Tarrant
790,1,0,1,0,1,0,1,1,2,0,2,0,"Lakeridge LTC Partners, Inc",33.46993,-101.94095,Lubbock
791,2,0,0,2,0,0,1,0,0,0,1,0,Lakeshore Village Healthcare Center,31.62687,-97.21135,McLennan
792,1,3,4,2,0,2,0,1,0,1,0,1,Lakeside Nursing And Rehabilitation Center,29.40396,-98.73079,Bexar
793,3,1,2,1,1,3,1,3,3,2,0,0,Lakeside Rehabilitation and Care Center,33.56969,-101.89127,Lubbock
794,2,1,1,3,4,3,2,3,3,2,3,6,Lakewest Rehabilitation And Healthcare Center,32.78137,-96.87917,Dallas
796,0,0,0,1,0,1,1,0,0,0,0,1,Lamb Healthcare Center,33.88987,-102.33544,Lamb
798,2,1,5,2,2,1,2,1,0,0,0,2,Lampasas Nursing And Rehabilitation Center,31.08754,-98.22873,Lampasas
799,2,0,3,1,3,4,3,1,2,1,2,6,Lampstand Nursing And Rehabilitation,30.66126,-96.32265,Brazos
800,0,0,0,0,0,0,0,0,1,0,0,0,Lamun-Lusk-Sanchez Texas State Veterans Home,32.253640000000004,-101.47291,Howard
802,0,0,2,0,3,2,1,1,1,1,1,0,Landmark At Plano,33.021370000000005,-96.74102,Collin
803,1,0,2,0,0,1,0,1,1,2,2,1,Landmark Of Amarillo,35.26275,-101.9691,Potter
804,3,6,10,10,19,10,9,6,3,4,0,0,LANDMARK OF PLANO REHABILITATION AND NURSING CENTER LLC,33.021370000000005,-96.74102,Collin
805,0,0,1,3,5,4,5,1,2,5,4,4,Laporte Healthcare Center,29.690490000000004,-95.05358,Harris
806,2,3,3,2,4,4,3,3,1,2,1,1,Laredo Medical Center,27.554170000000006,-99.46337,Webb
807,3,5,1,2,2,4,2,2,3,1,0,0,Laredo Nursing and Rehabilitation Center,27.554170000000006,-99.46337,Webb
810,12,12,8,15,10,12,26,21,9,13,9,15,Larkspur Transitional Care,31.33969,-94.82173,Angelina
812,0,1,1,1,1,0,0,0,0,0,0,0,Las Brisas Rehabilitation and Wellness Suites,32.87458,-96.99758,Dallas
813,0,1,3,7,8,3,6,8,6,3,2,2,Las Colinas of Westover,29.46217,-98.67597,Bexar
815,4,3,7,7,7,4,7,5,13,7,7,12,Las Palmas Nursing and Rehabilitation Center,26.16531,-98.24764,Hidalgo
816,0,0,0,0,0,1,1,0,1,1,0,0,Las Palmas Skilled Nursing and Rehabilitation,28.36133,-99.14499,La Salle
817,4,6,12,10,8,4,7,10,8,10,2,6,LAS VENTANAS DE SOCORRO,31.64455,-106.27373,El Paso
818,11,9,15,13,11,16,9,7,8,7,8,7,Laurel Court,29.38147,-95.24205,Brazoria
819,4,4,4,2,1,3,3,2,0,0,0,1,Laurenwood Nursing and Rehabilitation,32.66017,-96.91393,Dallas
820,1,0,0,1,1,0,0,0,0,0,0,0,Lavaca Hospital District,29.377,-96.84377,Lavaca
821,8,4,6,4,7,6,4,12,8,8,7,12,Lawrence Street Healthcare Center,30.09543,-95.58939,Harris
825,1,0,0,1,1,0,0,1,2,2,0,0,Legacy at Jacksonville,31.9462,-95.25704,Cherokee
826,3,4,1,0,2,0,1,0,1,2,0,0,Legacy Nursing And Rehabilitation,30.66126,-96.32265,Brazos
827,4,8,6,3,3,6,4,5,2,6,2,5,Legacy Rehabilitation and Living,35.16631,-101.88646,Randall
828,4,3,3,3,2,1,4,3,0,1,0,1,Legend Healthcare and Rehabilitation Euless,32.8147,-97.09677,Tarrant
829,16,12,13,11,11,7,9,12,4,2,4,8,Legend Healthcare and Rehabilitation Greenville,33.06878,-96.08534,Hunt
830,3,4,6,4,6,5,3,4,7,5,3,6,Legend Healthcare and Rehabilitation Paris,33.65811,-95.60422,Lamar
831,2,9,6,9,3,3,11,10,5,6,5,7,Legend Oaks Healthcare And Rehabilitation,29.69772,-98.0702,Comal
833,2,1,4,1,3,3,2,4,1,1,7,5,Legend Oaks Healthcare and Rehabilitation Center,29.92218,-95.54705,Harris
834,1,2,5,3,4,3,2,1,1,2,1,3,Legend Oaks Healthcare and Rehabilitation Center,29.29428,-98.53945,Bexar
835,5,8,7,8,8,11,6,7,1,1,0,2,Legend Oaks Healthcare and Rehabilitation Ennis,32.32976,-96.59334,Ellis
836,1,5,6,5,4,5,2,4,1,1,0,1,Legend Oaks Healthcare and Rehabilitation Garland,32.96264,-96.65323,Dallas
837,1,1,0,3,2,1,0,0,0,0,0,0,Legend Oaks Healthcare and Rehabilitation- Garland,32.96264,-96.65323,Dallas
838,0,1,3,1,5,3,4,1,0,0,1,0,Legend Oaks Healthcare and Rehabilitation Gladewater,32.5189,-94.95133,Smith
840,9,7,14,13,9,16,17,7,15,13,11,11,Legend Oaks Healthcare and Rehabilitation of East Houston,29.83413,-95.14734,Harris
841,4,8,5,7,6,3,2,4,4,2,1,2,Legend Oaks Healthcare And Rehabilitation Of Fort Worth,32.93098,-97.28435,Tarrant
842,1,0,1,2,0,0,0,0,0,0,2,5,Legend Oaks Healthcare And Rehabilitation Of North Houston,29.97776,-95.57315,Harris
843,11,6,9,5,1,6,5,6,3,2,2,1,Legend Oaks Healthcare And Rehabilitation Waxahachie,32.36912,-96.79744,Ellis
844,1,0,2,0,2,0,2,1,2,1,1,0,Legend Oaks Healthcare and Rehabilitation West San Antonio,29.40626,-98.62941,Bexar
845,9,10,8,0,1,3,4,3,1,2,3,4,Legend Oaks Rehabilitation And Healthcare Of Kyle,29.99495,-97.82813,Hays
848,0,0,0,0,0,0,0,0,1,1,1,1,Leonard Manor,33.39324000000001,-96.24331,Fannin
849,1,1,1,0,1,1,1,1,2,4,3,2,Levelland Nursing and Rehabilitation Center,33.60538,-102.40278,Hockley
850,5,8,11,10,11,6,11,12,13,8,9,6,Lexington Medical Lodge,33.17365,-96.35309,Collin
852,6,3,7,5,5,4,8,4,3,3,3,5,Lexington Place Nursing And Rehabilitation Center Of Nacogdoches,31.62169,-94.74495,Nacogdoches
853,2,2,2,4,4,4,2,0,3,3,2,4,Lexington Place Nursing and Rehabilitation Center Richland Hills,32.79966,-97.20767,Tarrant
854,0,0,0,0,0,0,0,1,0,0,0,0,Liberty Dayton Regional Medical Center,30.07536,-94.73395,Liberty
855,6,1,2,3,5,1,8,8,4,2,2,8,Liberty Health Care Center,30.07536,-94.73395,Liberty
856,2,7,5,1,8,7,11,6,6,7,8,10,Life Care Center of Haltom,32.80369,-97.26755,Tarrant
857,13,9,19,10,13,4,5,8,9,15,15,11,Life Care Center of Plano,33.021370000000005,-96.74102,Collin
860,5,5,5,3,3,1,1,5,1,3,1,0,Limestone Medical Center,31.50133,-96.51758,Limestone
861,0,0,0,0,0,0,0,0,0,0,0,1,Lindale Healthcare Center,32.5361,-95.43456,Smith
862,0,2,1,2,4,3,3,2,2,2,1,1,Lindan Park Rehabilitation And Nursing Center,32.94882,-96.7102,Dallas
865,1,3,1,1,3,3,0,1,3,1,4,1,"Live Oak Nursing Center, LP",28.25927,-98.14445,Live Oak
866,3,1,1,1,1,1,2,1,0,0,0,0,Llano Nursing and Rehabilitation Center,30.69023,-98.69483,Llano
867,0,0,0,0,2,0,0,0,0,0,0,1,Lockney Health and Rehabilitation Center,34.1848,-101.38675,Floyd
868,4,3,3,4,4,4,4,3,3,3,3,7,Longhorn Village,30.37912,-97.8931,Travis
870,0,1,5,1,3,4,3,7,3,2,2,3,Longmeadow Healthcare Center,33.098420000000004,-97.32495,Denton
871,5,7,7,9,2,6,10,9,5,7,4,7,Longview Hill Nursing and Rehabilitation Center,32.58258,-94.72065,Gregg
874,4,6,6,6,6,11,8,4,5,8,9,10,Los Arcos del Norte Care Center,31.9519,-106.43401,El Paso
875,0,0,0,2,2,1,2,1,3,2,0,0,"Lubbock Health Care Center, LP",33.56969,-101.89127,Lubbock
876,0,0,0,0,0,0,0,0,0,0,1,0,Lubbock Hospitality House Nursing and Rehabilitation Center,33.54875,-101.91944,Lubbock
877,1,1,0,1,1,0,1,0,2,1,0,0,Lubbock Ltc Nursing And Rehabilitation,33.56969,-101.89127,Lubbock
880,1,3,1,1,0,0,1,3,1,0,0,1,Lutheran Sunset Ministry,31.80782,-97.56147,Bosque
881,1,4,1,3,1,2,0,3,0,3,0,3,Lynn County Hospital District,33.1708,-101.83551,Lynn
883,2,4,4,2,3,4,2,2,3,2,3,3,Lynwood Nursing And Rehabilitation,33.60538,-102.40278,Hockley
884,1,1,0,0,0,0,0,1,0,0,0,1,Lytle Nursing Home,29.20448,-98.77533,Atascosa
885,0,0,1,0,0,1,1,1,0,0,0,0,Mabank Nursing Home,32.433,-96.07743,Henderson
887,4,3,4,4,10,9,0,4,6,6,6,5,Madison Medical Resort,31.92649,-102.35443,Ector
888,4,4,7,4,4,10,8,6,0,0,0,0,Madison Saint Joseph Health Center,30.95416,-95.90559,Madison
889,3,0,0,3,3,4,2,3,3,1,0,0,Madisonville Care Center,30.95416,-95.90559,Madison
891,0,0,0,0,0,0,0,1,0,0,1,0,"Magnified Health and Rehab of Anderson, LLC",30.609070000000006,-96.32603,Brazos
892,1,1,0,0,0,1,0,2,0,1,0,0,Magnolia Living and Rehabilitation,29.69106,-97.6345,Caldwell
893,1,1,2,2,3,1,4,2,2,3,5,7,Magnolia Manor,29.94725,-93.91849,Jefferson
894,2,1,1,0,3,0,0,4,0,1,1,0,Magnolia Place,32.7922,-94.306,Marion
895,2,2,2,1,2,2,3,4,4,3,1,2,Magnolia Place Health Care,30.07536,-94.73395,Liberty
896,1,1,0,1,0,1,2,0,0,0,0,0,Magnolia Place Skilled Nursing And Rehab,32.7922,-94.306,Marion
899,3,2,4,0,2,1,3,3,3,4,3,3,"Manor Park, Inc",32.03347,-102.21158,Midland
900,12,9,14,8,10,9,13,12,5,4,4,7,Mansfield Medical Lodge,32.5698,-97.14273,Tarrant
901,0,1,0,0,0,1,2,1,0,0,0,0,Mansfield Nursing and Rehabilitation Center,32.5698,-97.14273,Tarrant
903,2,2,1,1,1,3,2,3,4,2,1,1,Marine Creek Health and Rehabilitation Center,32.81451,-97.35244,Tarrant
904,7,1,2,2,8,6,5,8,2,4,0,2,Marshall Manor Nursing and Rehabilitation Center,32.572990000000004,-94.42297,Harrison
905,1,2,0,0,0,1,1,1,1,3,4,1,Marshall Manor West,32.572990000000004,-94.42297,Harrison
908,5,7,2,3,4,7,1,4,7,7,4,0,Mason Creek Transitional Care of Katy,29.7463,-95.73832,Harris
910,7,6,6,6,6,3,4,3,2,3,2,5,Matagorda House Healthcare Center At The Legacy Campus,28.899590000000003,-95.88091,Matagorda
911,0,0,2,1,1,0,2,0,0,0,0,0,Matagorda Nursing and Rehabilitation Center,28.899590000000003,-95.88091,Matagorda
912,6,5,0,3,3,0,0,0,0,3,4,6,Matlock Place Health and Rehabilitation Center,32.62262,-97.09226,Tarrant
913,7,3,6,1,6,5,5,7,7,3,6,7,Maverick Nursing and Rehabilitation Center,28.75206,-100.31076,Maverick
916,3,3,2,2,6,5,9,10,4,4,2,2,Mcallen Nursing Center,26.21583,-98.23917,Hidalgo
917,4,14,8,13,11,8,11,17,18,19,15,14,McAllen Transitional Care Center,26.16531,-98.24764,Hidalgo
919,0,0,0,0,0,0,1,0,0,0,0,0,McCamey Hospital,31.21544,-102.15319,Upton
922,9,8,9,7,7,8,13,13,15,21,9,10,McKinney Healthcare and Rehabilitation Center,33.16547,-96.59469,Collin
924,0,0,0,0,1,1,2,0,0,1,2,0,McLean Care Center,35.24304,-100.64262,Gray
925,5,4,3,1,1,1,0,3,1,1,1,0,Meadow Lake Health Center,32.23855,-95.32063,Smith
926,2,0,3,1,1,2,1,1,1,0,0,0,Meadowbrook Care Center,33.43311,-96.55161,Grayson
927,0,0,0,1,0,0,0,0,0,0,0,0,Medical Arts Hospital,32.69327,-102.01053,Dawson
935,2,2,0,0,2,2,3,1,2,0,1,2,Medina Regional Hospital,29.4267,-99.15448,Medina
936,0,0,0,0,0,0,0,1,1,1,1,1,Medina Valley Health and Rehabilitation Center,29.3573,-98.88669,Medina
939,9,12,16,12,9,14,10,7,10,6,4,11,Memorial City Health and Rehabilitation Center,29.79764,-95.49174,Harris
943,1,1,0,0,0,2,2,1,1,1,2,0,Memorial Hermann Hospital Skilled Nursing Unit,29.706290000000006,-95.4026,Harris
948,1,1,0,1,0,1,0,3,1,2,0,3,Memorial Hospital,32.68905,-102.74146,Gaines
949,0,0,1,0,2,0,0,1,2,0,0,2,Memorial Medical Center,28.6023,-96.60786,Calhoun
950,2,4,2,2,2,2,2,3,1,2,2,5,Memorial Medical Nursing Center,29.4646,-98.49266,Bexar
951,0,0,0,0,0,0,0,1,0,0,0,0,Memorial Nursing and Rehabilitation Center,35.89512,-102.02432,Moore
952,0,0,0,2,0,0,0,0,0,0,1,0,Memphis Convalescent Center,34.84545,-100.50845,Hall
953,0,0,0,0,0,0,0,0,0,0,2,1,Menard Manor,30.908,-99.83252,Menard
955,0,0,0,1,2,1,1,1,1,2,0,1,Meridian Care,29.5168,-98.363,Bexar
956,3,1,3,1,2,2,2,1,5,4,4,2,Meridian Care of Alice,27.71843,-98.14284,Jim Wells
957,0,0,1,0,1,0,0,0,0,0,1,0,Meridian Care Of Hebbronville,27.104340000000004,-98.78676,Jim Hogg
958,0,0,0,0,0,0,0,0,0,0,1,0,Meridian Care of Monte Vista,29.4646,-98.49266,Bexar
959,1,0,0,1,0,2,1,0,3,0,4,3,Meridian Of Temple,31.09622,-97.41034,Bell
960,0,0,0,0,0,1,0,0,0,0,0,0,Merkel Nursing Center,32.47379,-100.03346,Taylor
963,0,1,0,0,1,3,2,1,0,0,2,1,Mesa Vista Health Center,29.52465,-98.60749,Bexar
964,1,0,1,0,2,0,1,0,1,1,1,0,"Mesquite Tree Nursing Center, LP",32.77003,-96.61487,Dallas
966,0,0,5,3,1,1,3,2,3,1,2,0,Methodist Hospital Skilled Nursing Unit,29.706290000000006,-95.4026,Harris
969,0,1,0,0,2,0,1,1,1,0,1,1,"Metroplex Nursing and Rehabilitation, LP",32.72757,-96.99439,Dallas
970,1,1,0,1,2,1,1,0,0,0,0,0,Mexia LTC Nursing and Rehabilitation,31.65532,-96.46855,Limestone
972,1,0,1,0,1,2,1,2,2,2,1,0,Mid Valley Nursing And Rehabilitation,26.1748,-97.91091,Hidalgo
974,0,1,1,3,3,4,3,1,1,1,2,1,Midland Medical Lodge,32.051140000000004,-102.05955,Midland
975,6,8,8,11,14,15,10,8,6,4,4,5,MIDLOTHIAN HEALTHCARE CENTER,32.47047,-96.98898,Ellis
976,2,3,2,2,3,3,2,1,1,2,2,0,Midwestern Healthcare Center,33.86456,-98.49109,Wichita
977,0,1,1,0,2,2,2,5,0,1,1,0,Millbrook Healthcare and Rehabilitation Center,32.57462,-96.75069,Dallas
978,0,0,0,0,0,0,0,1,0,2,0,0,Mineola Healthcare Residence,32.67876,-95.4459,Wood
979,7,8,7,3,4,5,7,0,5,0,2,7,Mineral Wells Nursing and Rehabilitation,32.80005,-98.12755,Palo Pinto
980,3,2,6,2,5,3,3,4,0,0,0,1,Mira Vista Court,32.667590000000004,-97.41797,Tarrant
981,1,0,0,0,0,1,1,1,0,0,0,0,Mirador,27.6603,-97.36893,Nueces
982,4,1,2,1,2,1,2,0,0,0,1,1,Mission Care Center,29.686120000000006,-95.30343,Harris
983,0,0,0,0,0,0,1,0,0,0,0,0,Mission Manor Healthcare Residence,33.17279,-95.21222,Franklin
985,4,1,3,5,2,9,5,7,1,6,9,7,Mission Nursing and Rehabilitation Center,26.2281,-98.37665,Hidalgo
988,1,2,6,4,2,0,2,4,3,5,4,5,MISSION VALLEY NURSING AND TRANSITIONAL CARE,26.2281,-98.37665,Hidalgo
990,0,0,0,0,0,0,0,1,1,0,0,0,Mitchell County Nursing and Rehabilitation Center,32.31554000000001,-100.91777,Mitchell
991,0,0,0,0,0,0,0,0,1,0,0,0,Modern Senior Living,32.75075,-96.75806,Dallas
992,0,0,0,0,0,0,0,0,0,0,0,1,Monahans Managed Care Center,31.545790000000004,-102.85809,Ward
993,0,0,0,3,2,1,1,1,0,0,0,0,Monarch Pavilion Rehabilitation,32.83251,-96.84851,Dallas
994,0,0,0,0,0,0,0,0,0,1,0,0,"Monte Siesta Nursing and Rehabilitation, LP",30.2659,-97.86658,Travis
996,6,6,2,0,2,1,4,2,0,1,0,0,Monument Hill Nursing And Rehabilitation Center,29.91566,-96.88947,Fayette
999,0,5,1,5,9,4,4,4,2,2,8,7,Morningside Manor Health Care,29.46876,-98.52824,Bexar
1000,0,0,0,0,0,0,1,0,0,0,0,0,Morningside Ministries at the Chandler Estate,29.4646,-98.49266,Bexar
1003,4,4,8,10,9,7,8,6,6,10,3,8,Mountain View Health And Rehabilitation,31.78412,-106.4979,El Paso
1006,8,9,14,5,7,6,8,6,7,6,4,7,MRC Creekside,30.643690000000007,-95.53981,Walker
1009,6,9,12,10,6,5,2,1,0,0,3,1,Muenster Memorial Hospital Swing Bed,33.68568,-97.38545,Cooke
1010,2,0,1,0,4,1,1,1,1,3,2,1,Mulberry Manor,32.28259,-98.19882,Erath
1011,0,0,0,0,0,0,0,0,0,0,0,1,Muleshoe Area Medical Center,34.17746,-102.78205,Bailey
1012,2,0,3,1,1,2,2,1,2,0,0,0,Mullican Care Center,33.62166,-96.33921,Fannin
1015,0,2,1,3,3,0,0,0,0,1,1,2,Mystic Park Nursing and Rehabilitation Center,29.53692,-98.73779,Bexar
1020,1,0,1,3,1,1,2,0,3,2,0,0,Navasota Nursing And Rehabilitation,30.3686,-96.0616,Grimes
1021,2,3,9,1,6,2,1,6,17,15,5,17,Nazareth Living Care Center,31.78615,-106.4418,El Paso
1022,1,0,0,0,0,1,0,1,1,0,1,1,Nesbit Living and Recovery Center,29.5334,-97.93886,Guadalupe
1025,3,1,1,0,2,1,2,2,0,0,0,0,New Hope Manor,30.50395,-97.82463,Williamson
1029,0,1,1,1,1,1,1,1,1,0,0,0,Nocona Nursing Home,33.82,-97.72916,Montague
1030,2,0,1,1,2,0,0,2,2,0,1,2,"Nolan Nursing and Rehabilitation, LP",32.45432,-100.36402,Nolan
1031,3,2,3,0,1,2,0,2,4,2,3,4,Normandy Terrace Healthcare and Rehabilitation Center,29.41674,-98.39321,Bexar
1032,8,3,7,7,2,7,5,8,10,10,3,9,NORTH HOUSTON TRANSITIONAL CARE,29.97776,-95.57315,Harris
1033,0,1,1,2,1,2,3,6,3,4,2,1,North Park Health and Rehabilitation Center,33.24664,-96.62898,Collin
1034,2,2,2,2,1,3,1,2,1,3,2,2,"North Pointe Nursing and Rehabilitation, LP",32.868109999999994,-97.25197,Tarrant
1038,7,8,9,4,2,4,7,5,7,7,6,5,Northeast Rehabilitation Center,29.4915,-98.4011,Bexar
1039,2,1,4,4,1,1,1,3,3,2,1,1,Northern Oaks Living and Rehabilitation Center,32.40153,-99.88473,Taylor
1040,0,0,1,1,1,0,2,0,1,0,1,1,Northgate Health and Rehabilitation Center,29.52465,-98.60749,Bexar
1041,1,1,3,1,2,1,2,0,4,1,3,3,Northgate Plaza Nursing and Rehabilitation Center,32.846990000000005,-96.95696,Dallas
1043,3,3,4,1,1,2,2,4,2,3,2,5,Northwest Health and Rehabilitation Center,30.00863,-95.44388,Harris
1045,0,0,1,0,1,1,1,2,1,0,2,0,Oak Grove Nursing Home,29.94725,-93.91849,Jefferson
1046,0,0,2,1,2,1,2,0,1,2,4,0,"Oak Manor Nursing and Rehabilitation, LP",33.26847,-95.91606,Hunt
1047,0,0,0,0,0,0,0,1,3,1,2,8,Oak Manor Nursing Home,31.561120000000006,-94.50001,Nacogdoches
1048,1,2,1,3,3,1,1,1,1,1,0,3,Oak Parks Nursing and Rehabilitation Center,29.50555,-98.5722,Bexar
1049,2,1,1,2,0,0,1,1,0,1,1,1,Oak Ridge Manor,31.7425,-99.03991,Brown
1050,1,2,1,1,0,4,1,1,0,4,3,5,Oak Village Healthcare,29.05023,-95.47549,Brazoria
1051,7,5,3,2,1,3,2,3,7,1,2,2,Oakbend Medical Center Skilled Nursing Facility,29.48,-95.68315,Fort Bend
1052,2,3,6,3,6,0,0,1,1,1,0,0,Oakbrook Healthcare Center,32.22164,-95.22053,Smith
1054,1,0,0,0,0,0,0,0,1,0,0,1,"Oakland Manor Nursing Center, LP",30.16902,-96.92221,Lee
1055,5,1,2,1,1,2,3,5,3,2,0,5,Oakmont Healthcare and Rehabilitation Center of Katy,29.83556,-95.73813,Harris
1056,8,5,13,8,6,11,10,12,12,13,7,11,Oakmont Healthcare and Rehabilitation of Humble,30.00679,-95.29018,Harris
1057,0,1,1,1,0,2,0,1,0,0,0,0,Oaks At White Settlement,32.77595,-97.52195,Tarrant
1058,0,3,2,3,1,4,1,3,1,3,1,3,Oaks Nursing Center,30.79177,-98.26016,Burnet
1060,7,4,2,5,6,6,3,4,3,3,2,0,Oakwood Manor Nursing Home,30.17843,-94.01841,Orange
1062,2,4,3,3,1,1,3,2,6,2,5,5,Oasis Nursing and Rehabilitation Center,31.7075,-106.32682,El Paso
1063,1,0,0,0,1,0,0,0,0,0,0,0,Ochiltree General Hospital,36.27683,-100.79875,Ochiltree
1064,1,2,0,0,0,0,0,0,0,0,0,1,Odd Fellow and Rebekah Nursing and Rehab Center,32.32976,-96.59334,Ellis
1068,9,6,10,10,10,9,6,7,9,10,14,9,One Heartland San Antonio Wellness And Rehabilitation,29.585490000000004,-98.40706,Bexar
1069,1,0,1,1,1,0,1,1,1,1,1,1,Onion Creek Nursing And Rehabilitation Center,30.16538,-97.82343,Travis
1070,3,8,7,9,8,10,14,7,4,3,6,5,OnPointe Transitional Care at Texas Health Arlington Memorial Hospital,32.75461,-97.13902,Tarrant
1071,8,10,12,10,9,13,14,22,12,11,8,10,OnPointe Transitional Care at Texas Health Presbyterian Hospital Dallas,32.87767,-96.74979,Dallas
1073,0,0,2,1,3,0,0,1,1,0,0,2,Otto Kaiser Memorial Hospital,28.73025,-97.89596,Karnes
